Tube Line,From Station,To Station
Bakerloo,Baker Street,Regents Park
Bakerloo,Paddington,Edgware Road (Bakerloo)
Bakerloo,Piccadilly Circus,Charing Cross
Bakerloo,Queens Park,Kilburn Park
Bakerloo,Regents Park,Oxford Circus
Bakerloo,South Kenton,North Wembley
Bakerloo,Stonebridge Park,Harlesden
Bakerloo,Warwick Avenue,Paddington
Bakerloo,Waterloo,Lambeth North
Bakerloo,Wembley Central,Stonebridge Park
Bakerloo,Willesden Junction,Kensal Green
Bakerloo,Oxford Circus,Piccadilly Circus
Bakerloo,North Wembley,Wembley Central
Bakerloo,Marylebone,Baker Street
Bakerloo,Charing Cross,Embankment
Bakerloo,Edgware Road (Bakerloo),Marylebone
Bakerloo,Embankment,Waterloo
Bakerloo,Harlesden,Willesden Junction
Bakerloo,Harrow and Wealdstone,Kenton
Bakerloo,Kensal Green,Queens Park
Bakerloo,Kenton,South Kenton
Bakerloo,Kilburn Park,Maida Vale
Bakerloo,Lambeth North,Elephant and Castle
Bakerloo,Maida Vale,Warwick Avenue
C2C,Liverpool Street,Stratford
C2C,Ockendon,Chafford Hundred
C2C,Stratford,Barking
C2C,Upminster,Ockendon
C2C,West Ham,Barking
C2C,Limehouse,West Ham
C2C,Fenchurch Street,Stratford
C2C,Barking,Dagenham Dock
C2C,Barking,Upminster
C2C,Dagenham Dock,Purfleet
C2C,Dagenham Dock,Rainham
C2C,Fenchurch Street,Limehouse
Central,Redbridge,Gants Hill
Central,Queensway,Notting Hill Gate
Central,Perivale,Greenford
Central,Oxford Circus,Bond Street
Central,Notting Hill Gate,Holland Park
Central,Northolt,South Ruislip
Central,North Acton,West Acton
Central,North Acton,Hanger Lane
Central,Newbury Park,Barkingside
Central,Mile End,Bethnal Green
Central,Ruislip Gardens,West Ruislip
Central,Shepherds Bush,White City
Central,Snaresbrook,Leytonstone
Central,Woodford,South Woodford
Central,White City,East Acton
Central,West Acton,Ealing Broadway
Central,Wanstead,Redbridge
Central,Tottenham Court Road,Oxford Circus
Central,Theydon Bois,Debden
Central,Stratford,Mile End
Central,St. Pauls,Chancery Lane
Central,South Woodford,Snaresbrook
Central,South Ruislip,Ruislip Gardens
Central,Marble Arch,Lancaster Gate
Central,Loughton,Buckhurst Hill
Central,Epping,Theydon Bois
Central,East Acton,North Acton
Central,Debden,Loughton
Central,Chigwell,Roding Valley
Central,Chancery Lane,Holborn
Central,Buckhurst Hill,Woodford
Central,Bond Street,Marble Arch
Central,Bethnal Green,Liverpool Street
Central,Barkingside,Fairlop
Central,Bank,St. Pauls
Central,Fairlop,Hainault
Central,Gants Hill,Newbury Park
Central,Grange Hill,Chigwell
Central,Liverpool Street,Bank
Central,Leytonstone,Wanstead
Central,Leytonstone,Leyton
Central,Leyton,Stratford
Central,Lancaster Gate,Queensway
Central,Holland Park,Shepherds Bush
Central,Holborn,Tottenham Court Road
Central,Hanger Lane,Perivale
Central,Hainault,Grange Hill
Central,Greenford,Northolt
Chiltern Railways,Rickmansworth,Chorleywood
Chiltern Railways,South Ruislip,West Ruislip
Chiltern Railways,Sudbury and Harrow Road,Sudbury Hill Harrow
Chiltern Railways,Sudbury Hill Harrow,Northolt Park
Chiltern Railways,Wembley Stadium,Sudbury and Harrow Road
Chiltern Railways,Paddington,South Ruislip
Chiltern Railways,Northolt Park,South Ruislip
Chiltern Railways,Marylebone,Wembley Stadium
Chiltern Railways,Marylebone,Harrow-on-the-Hill
Chiltern Railways,Harrow-on-the-Hill,Rickmansworth
Chiltern Railways,Chorleywood,Chalfont and Latimer
Chiltern Railways,Chalfont and Latimer,Amersham
Circle,Shepherds Bush Market,Wood Lane
Circle,Royal Oak,Paddington
Circle,Paddington,Edgware Road (Circle/District/Hammersmith and City)
Circle,Notting Hill Gate,Bayswater
Circle,Moorgate,Liverpool Street
Circle,Monument,Cannon Street
Circle,Mansion House,Blackfriars
Circle,Sloane Square,South Kensington
Circle,South Kensington,Gloucester Road
Circle,St. James's Park,Victoria
Circle,Temple,Embankment
Circle,Tower Hill,Monument
Circle,Victoria,Sloane Square
Circle,Westbourne Park,Royal Oak
Circle,Westminster,St. James's Park
Circle,Wood Lane,Latimer Road
Circle,Liverpool Street,Aldgate
Circle,Latimer Road,Ladbroke Grove
Circle,Ladbroke Grove,Westbourne Park
Circle,Aldgate,Tower Hill
Circle,Baker Street,Great Portland Street
Circle,Barbican,Moorgate
Circle,Bayswater,Paddington
Circle,Blackfriars,Temple
Circle,Cannon Street,Mansion House
Circle,Edgware Road (Circle/District/Hammersmith and City),Baker Street
Circle,Embankment,Westminster
Circle,Euston Square,Kings Cross St. Pancras
Circle,Kings Cross St. Pancras,Farringdon
Circle,High Street Kensington,Notting Hill Gate
Circle,Hammersmith (Met.),Goldhawk Road
Circle,Great Portland Street,Euston Square
Circle,Goldhawk Road,Shepherds Bush Market
Circle,Gloucester Road,High Street Kensington
Circle,Farringdon,Barbican
District,Stamford Brook,Turnham Green
District,St. James's Park,Victoria
District,Southfields,Wimbledon Park
District,South Kensington,Gloucester Road
District,Sloane Square,South Kensington
District,Ravenscourt Park,Stamford Brook
District,Putney Bridge,East Putney
District,Plaistow,West Ham
District,Parsons Green,Putney Bridge
District,Paddington,Edgware Road (Circle/District/Hammersmith and City)
District,Notting Hill Gate,Bayswater
District,Monument,Cannon Street
District,Mansion House,Blackfriars
District,Stepney Green,Whitechapel
District,Temple,Embankment
District,Tower Hill,Monument
District,Whitechapel,Aldgate East
District,Westminster,St. James's Park
District,West Kensington,Barons Court
District,West Ham,Bromley-by-Bow
District,West Brompton,Fulham Broadway
District,Victoria,Sloane Square
District,Upton Park,Plaistow
District,Upney,Barking
District,Upminster Bridge,Hornchurch
District,Upminster,Upminster Bridge
District,Turnham Green,Gunnersbury
District,Turnham Green,Chiswick Park
District,Wimbledon Park,Wimbledon
District,Kew Gardens,Richmond
District,Acton Town,Ealing Common
District,Dagenham East,Dagenham Heathway
District,Chiswick Park,Acton Town
District,Cannon Street,Mansion House
District,Bromley-by-Bow,Bow Road
District,Bow Road,Bow Church
District,Bow Church,Stepney Green
District,Blackfriars,Temple
District,Becontree,Upney
District,Bayswater,Paddington
District,Barons Court,Hammersmith (District)
District,Barking,East Ham
District,Aldgate East,Tower Hill
District,Dagenham Heathway,Becontree
District,Ealing Common,Ealing Broadway
District,Earls Court,High Street Kensington
District,Hornchurch,Elm Park
District,High Street Kensington,Notting Hill Gate
District,Hammersmith (District),Ravenscourt Park
District,Gunnersbury,Kew Gardens
District,Gloucester Road,Earls Court
District,Fulham Broadway,Parsons Green
District,Embankment,Westminster
District,Elm Park,Dagenham East
District,Earls Court,Kensington (Olympia)
District,Earls Court,West Brompton
District,Earls Court,West Kensington
District,East Ham,Upton Park
District,East Putney,Southfields
DLR,Royal Victoria,Custom House
DLR,Royal Albert,Beckton Park
DLR,Pudding Mill Lane,Bow Church
DLR,Prince Regent,Royal Albert
DLR,Poplar,Westferry
DLR,Poplar,West India Quay
DLR,Poplar,Blackwall
DLR,Pontoon Dock,London City Airport
DLR,Mudchute,Island Gardens
DLR,Shadwell,Bank
DLR,Shadwell,Tower Gateway
DLR,South Quay,Crossharbour and London Arena
DLR,Westferry,Limehouse
DLR,West Silvertown,Pontoon Dock
DLR,West India Quay,Canary Wharf
DLR,West Ham,Star Lane
DLR,Stratford International,Stratford
DLR,Stratford High Street,Abbey Road
DLR,Stratford,Stratford High Street
DLR,Stratford,Pudding Mill Lane
DLR,Star Lane,Canning Town
DLR,London City Airport,King George V
DLR,Limehouse,Shadwell
DLR,Langdon Park,All Saints
DLR,Crossharbour and London Arena,Mudchute
DLR,Canning Town,West Silvertown
DLR,Canning Town,Royal Victoria
DLR,Canary Wharf,Heron Quays
